archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types,error
mcs2024.zip,salient,trends/others/MCS2025_T5_Critical_Minerals_Salient.csv,structural_break,200,31.0,Year,7.0,27972106-9f6b-4256-afc7-3022136b5bbd,54dfd83a-5ed8-49d3-b1c8-96207114a24f,200.0,7.0,200.0,7.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,10.0,17.0,14.0,"structural_break_plot,structural_break_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig12_Pch_Consump_2020_2024.csv,structural_break,200,75.0,,2.0,a8ca82ab-d67d-4f5e-98ed-278054d6e4d8,b12e8cfe-7f9d-4b78-b15b-ad7685d4e659,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig10_Price_Growth_Rates.csv,structural_break,200,40.0,,2.0,0283755b-69c8-4d3f-bc3a-7ce995cab4e9,c7906493-c7be-40ca-8bd0-fadfcdb80ddd,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T4_Critical_Minerals_End_Use.csv,structural_break,200,50.0,,0.0,d0cac2ea-cae5-41eb-9295-bdb605769dc8,fe02d206-ff4a-470f-835d-3fd6cbf99712,200.0,0.0,200.0,0.0,204.0,0.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T1_Mineral_Industry_Trends.csv,structural_break,200,5.0,Year,12.0,5f06f158-586d-4a9b-93c8-d0e94988455f,9ec409e2-ec04-48d7-9dd4-66faff3effad,200.0,12.0,200.0,12.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,14.0,24.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig13_Scrap.csv,structural_break,200,15.0,,4.0,0aed1b19-ff32-4302-9444-46efb4538b0a,4b4946cc-37b0-4d44-b640-dea9ba22689e,200.0,4.0,200.0,4.0,200.0,4.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig4_Value_by_Type.csv,structural_break,200,4.0,year,1.0,83a86be6-91a9-4ebb-8c4a-fbddc2bfff3b,79b3426e-5507-498c-b319-812300128878,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,3.0,2.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig11_Pch_Consump_2023_2024.csv,structural_break,200,78.0,,2.0,f81444f4-7172-4e95-a29e-e5ff17bc2380,191026ff-c734-4ea7-be0e-2825dd0cdafb,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig2_Net_Import_Reliance.csv,structural_break,200,64.0,,2.0,b8b2184e-8ce2-4ebd-8c0f-224683c0f8ce,3a6f6625-6016-471e-8b63-e5bbae6fdad8,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T3_State_Value_Rank.csv,structural_break,200,51.0,Year,3.0,30cdc490-c20b-45e2-9ff9-3461d4c45f6f,1368f094-3248-443b-9818-03c2c2a8eac0,200.0,3.0,200.0,3.0,200.0,3.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,11.0,6.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig3_Major_Import_Sources.csv,structural_break,200,43.0,,1.0,cdb1d96c-34ae-4330-b1d1-11d2022f9c78,6298cf03-42ac-4a62-b629-3d8d13db0d37,200.0,1.0,200.0,1.0,200.0,1.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig1_Minerals_in_Economy.csv,structural_break,200,14.0,Year,1.0,f0c7e66d-8051-4d9d-a178-b69a56356779,04504aea-045e-4524-8c3e-13d613ff7ec3,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,2.0,3.0,2.0,"structural_break_plot,structural_break_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_T2_Mineral_Economic_Trends.csv,structural_break,200,5.0,Year,21.0,6e64fb31-1ffb-421d-baa7-8cb6db8f071c,26ad4c5c-4cb8-4102-9325-1c526ad333d1,200.0,21.0,200.0,21.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,23.0,42.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig4_Value_by_Type.csv,structural_break,200,4.0,year,1.0,141087c2-3781-47de-84f2-5e4c8fbd7ab1,ce395979-c678-475f-bb01-b30fcc0bedb9,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,3.0,2.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig3_Major_Import_Sources.csv,structural_break,200,43.0,,1.0,a3eb72de-322e-46fe-beca-4c2357f9703d,1bfacf48-bf5f-4e1f-9d76-ac7331d99043,200.0,1.0,200.0,1.0,200.0,1.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig12_Pch_Consump_2019_2023.csv,structural_break,200,73.0,,2.0,e1a78a3b-785f-450f-969b-fbe6fda9329b,c5200e93-7b22-4dbf-87de-55ed812f2307,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig1_Minerals_in_Economy.csv,structural_break,200,14.0,Year,1.0,79f757b3-65fa-4ebb-b778-9934d1e83c52,cdbd0c34-9eee-4dd9-9f45-b0eca521c52e,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,2.0,3.0,2.0,"structural_break_plot,structural_break_result",
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig2_Net_Import_Reliance.csv,structural_break,200,63.0,,2.0,abc78d53-96c3-4778-a7b9-2d2c7dd07c26,741793d9-91b0-4872-890f-91032ec7dcd5,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig11_Pch_Consump_2022_2023.csv,structural_break,200,74.0,,2.0,1b0f17f9-39ee-4eb1-8dde-e350800f254c,7da6021f-81cd-4faf-83b0-2164eab97426,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig10_Price_Growth_Rates.csv,structural_break,200,40.0,,2.0,da499a4d-25ab-4656-8024-61be16a0a815,3f71ce3d-3faf-4c72-8638-d71b7f73dbd9,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T3_State_Value_Rank.csv,structural_break,200,50.0,Year,3.0,d95419b4-b990-43e0-b249-b1f3528aea4e,3b3a42ca-6eec-4acc-bf97-e3d0c63d1a92,200.0,3.0,200.0,3.0,200.0,3.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,11.0,6.0,,
mcs2024.zip,salient,trends/tables/MCS2024_T5_Critical_Minerals_Salient.csv,structural_break,200,31.0,Year,7.0,edc9ae1b-c13f-4789-9349-ad515fed5c81,4b484e88-f843-4a11-9ca0-21d228d5c794,200.0,7.0,200.0,7.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,10.0,17.0,14.0,"structural_break_plot,structural_break_result",
mcs2024.zip,trends_figures,trends/tables/MCS2024_T4_Critical_Minerals_End_Use.csv,structural_break,200,50.0,,0.0,288d8d20-8dd9-46dd-ae98-9fb846f4a717,aa93708c-5561-4100-8a32-69475f989c9e,200.0,0.0,200.0,0.0,204.0,0.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T2_Mineral_Economic_Trends.csv,structural_break,200,5.0,Year,21.0,2c2931cc-2e8f-4ea9-8f84-d80d72732458,ab166cf9-f45b-4c09-9198-a40ed459f15f,200.0,21.0,200.0,21.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,23.0,42.0,,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T1_Mineral_Industry_Trends.csv,structural_break,200,5.0,Year,12.0,9ca10687-2a49-4199-87d1-e5e3f5de0c95,fa814894-a874-45cc-94ce-4abeb1c07906,200.0,12.0,200.0,12.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,14.0,24.0,,
mcs2024.zip,salient,commodities/vanad/mcs2024-vanad_salient.csv,structural_break,200,5.0,Year,21.0,4e698d2b-a9be-46e6-b4bd-583e8224ced7,4e750ed9-b9e3-4aca-9af3-4aa9d493dc36,200.0,21.0,200.0,21.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,23.0,42.0,,
