archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types
mcs2024.zip,salient,trends/others/MCS2025_T5_Critical_Minerals_Salient.csv,structural_break,200,31,Year,7,6d696256-e7a8-4c50-a31b-06f76527a69e,8f294fd8-6aab-476f-9b91-c18cc2b65d77,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,10,17,14,"structural_break_plot,structural_break_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig12_Pch_Consump_2020_2024.csv,structural_break,200,75,,2,7770f241-19b5-44ee-aaff-9242b380d1ba,2f5b231e-1d3c-436f-80cf-45450c5b9d82,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig10_Price_Growth_Rates.csv,structural_break,200,40,,2,009add94-2c2a-4468-a1bc-3c4e3b77263b,913dda84-1fe2-4b54-b45c-2ad530d16140,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_T4_Critical_Minerals_End_Use.csv,structural_break,200,50,,0,2b2c9509-a778-4e43-a242-084ba02b50c6,19e27969-6f56-4a25-b3ab-f1ccf22aa536,200,0,200,0,204,0,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_T1_Mineral_Industry_Trends.csv,structural_break,200,5,Year,12,d095734e-5ee2-47a8-850b-1c0690c93ce8,b6516156-630c-4ae0-b8d4-6611d0f7acda,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,14,24,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig13_Scrap.csv,structural_break,200,15,,4,3785a580-231f-47c2-a5a5-16395725b05c,3b3ea7a4-4320-4083-b364-f498db6c4676,200,4,200,4,200,4,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig4_Value_by_Type.csv,structural_break,200,4,year,1,598927d0-9bae-4628-821b-2758e2ff23c0,35d24e04-55b7-4473-a1a8-a005dab946d6,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,3,2,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig11_Pch_Consump_2023_2024.csv,structural_break,200,78,,2,d473718e-cc57-48d2-b517-93f70c42915d,282e8c1b-712c-4322-99c2-8d8122c0fa2d,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig2_Net_Import_Reliance.csv,structural_break,200,64,,2,9e68db37-7fd3-430a-94e9-4125cfe6947e,77ff3ba5-4913-4e85-be77-2bd4733e5c39,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_T3_State_Value_Rank.csv,structural_break,200,51,Year,3,11c24de3-7677-4a9f-8cc8-bbabc9587e2f,a78a716c-d4d4-4985-94af-9155efd4cb2d,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,0,11,6,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig3_Major_Import_Sources.csv,structural_break,200,43,,1,194b7d07-eb7f-4ed0-a3b9-8e01f29cd89a,14098a93-529f-4aeb-9d7e-e25390041380,200,1,200,1,200,1,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig1_Minerals_in_Economy.csv,structural_break,200,14,Year,1,2b73f9fa-df65-49f3-b58e-4ebe263d261d,a270890c-b52c-4d11-96b6-fff33d9816be,200,1,200,1,200,1,200,"decomposition,structural_break",200,2,3,2,"structural_break_plot,structural_break_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_T2_Mineral_Economic_Trends.csv,structural_break,200,5,Year,21,615c68f9-ece4-48e7-9d4b-452317e2cb71,82f4f830-28a8-405f-8282-aa6ad02914f5,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,23,42,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig4_Value_by_Type.csv,structural_break,200,4,year,1,e887720a-47a8-4b21-b08d-94ab560add62,882ed13c-9919-46ec-9d30-5a59c6967477,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,3,2,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig3_Major_Import_Sources.csv,structural_break,200,43,,1,abb81439-d7df-441d-8877-ac5411c47bef,6cb17a3c-ead4-4d25-973b-5e4dfec39a13,200,1,200,1,200,1,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig12_Pch_Consump_2019_2023.csv,structural_break,200,73,,2,5d083312-3bdd-4537-84a6-bd7463c1a3fc,4351c00e-662f-44ce-b801-375efcede608,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig1_Minerals_in_Economy.csv,structural_break,200,14,Year,1,4c5cc6f2-bee2-4f70-b912-854acacc71a8,f3f2f368-33e9-45ee-bb17-237f913285a8,200,1,200,1,200,1,200,"decomposition,structural_break",200,2,3,2,"structural_break_plot,structural_break_result"
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig2_Net_Import_Reliance.csv,structural_break,200,63,,2,9b933262-284e-410b-8f04-2006b584833b,94567d37-1ca8-40b6-8d0c-0fd4449c71e6,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig11_Pch_Consump_2022_2023.csv,structural_break,200,74,,2,dbe4e253-8215-4de1-92a4-78c4447e1b53,f8e0fc64-8da6-4b95-a826-30741c7fc447,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig10_Price_Growth_Rates.csv,structural_break,200,40,,2,1085e62a-def1-4c89-88e8-9f770e6fb98a,98130f78-960f-4109-8c58-4f2cdd145e2b,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T3_State_Value_Rank.csv,structural_break,200,50,Year,3,ee1e92db-0be9-4b5d-bba9-807576afbd4b,1a87b111-f47e-4fe9-b36e-f18eccb90d9e,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,0,11,6,
mcs2024.zip,salient,trends/tables/MCS2024_T5_Critical_Minerals_Salient.csv,structural_break,200,31,Year,7,23b9a5be-34de-42a8-b784-4c77b38c1476,5e1b5fe7-23c9-451a-8e55-cbfd158c34af,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,10,17,14,"structural_break_plot,structural_break_result"
mcs2024.zip,trends_figures,trends/tables/MCS2024_T4_Critical_Minerals_End_Use.csv,structural_break,200,50,,0,e6c3083c-4727-4bde-8120-9032d7e31729,a964c895-4e47-4b1f-afa9-00082bf4b858,200,0,200,0,204,0,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T2_Mineral_Economic_Trends.csv,structural_break,200,5,Year,21,9fd66c96-fe9c-454e-917e-79c89830c507,85c28fec-0a04-436f-917e-dbdf5346c7fb,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,23,42,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T1_Mineral_Industry_Trends.csv,structural_break,200,5,Year,12,7c9d2bc7-9575-463b-aa54-fe9cc8fee46b,8a719aac-8d0e-425a-825a-33e8c4b3df4b,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,14,24,
mcs2024.zip,salient,commodities/vanad/mcs2024-vanad_salient.csv,structural_break,200,5,Year,21,3ff7a298-2fee-4478-b03d-44e818206c85,10c8c71f-35dc-4e5b-994a-dec04dc5ef1b,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,23,42,
mcs2024.zip,world,commodities/vanad/mcs2024-vanad_world.csv,structural_break,200,7,,3,fd6c99d9-dcfa-4b74-80ed-b59cceb9d3d2,c543b8c0-8a00-4d86-91bf-f5b1deed62b9,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/salt/mcs2024-salt_salient.csv,structural_break,200,5,Year,12,fbd6b4cb-dacf-4444-9719-c0d98a8f2b4c,ceed464d-db26-46de-98c8-aac2e814a9e3,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,14,24,
