archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types,error
mcs2024.zip,salient,trends/others/MCS2025_T5_Critical_Minerals_Salient.csv,cross_correlation,200,31.0,Year,7.0,1c982dd0-3a81-46aa-a1aa-9b411061ea96,48502261-a773-4683-b7d0-760509d87801,200.0,7.0,200.0,7.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig12_Pch_Consump_2020_2024.csv,cross_correlation,200,75.0,,2.0,9c1dc0b3-dd45-439d-ac6e-201fec509c2a,c2838944-8e13-454a-8c26-1a55d1f6d1b6,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig10_Price_Growth_Rates.csv,cross_correlation,200,40.0,,2.0,981a6160-9920-479f-9e99-5b017ffef9ab,98140db4-a438-4fc8-a419-8ba8c2aa8455,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_T4_Critical_Minerals_End_Use.csv,cross_correlation,200,50.0,,0.0,929b61a6-0f13-4d24-9d10-6048444a407c,2b410019-570d-48c1-9c8a-1e8d75875d67,200.0,0.0,200.0,0.0,204.0,0.0,200.0,descriptive_summary,200.0,0.0,2.0,2.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T1_Mineral_Industry_Trends.csv,cross_correlation,200,5.0,Year,12.0,c9b20f7c-a3bb-452e-a33f-fee9a7e05dd9,9a28597f-8e7c-4837-8350-76f1305fb2c0,200.0,12.0,200.0,12.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig13_Scrap.csv,cross_correlation,200,15.0,,4.0,9418db27-1a98-4ca1-b70b-e659450cd40d,1f4ebf8e-5739-4db8-9630-4d584cf5cac9,200.0,4.0,200.0,4.0,200.0,4.0,200.0,descriptive_summary,200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig4_Value_by_Type.csv,cross_correlation,200,4.0,year,1.0,da0001e7-b9cc-4ad0-a231-53273e728a9d,cbc61ded-610f-4b9f-9082-3a64f418b47d,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,2.0,2.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig11_Pch_Consump_2023_2024.csv,cross_correlation,200,78.0,,2.0,1c8e9d6d-8aee-4114-88a5-039422c43442,03c07a61-4a77-463f-a174-b49042450039,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig2_Net_Import_Reliance.csv,cross_correlation,200,64.0,,2.0,ab5f4b09-4409-48c9-a196-41594d24c54d,bf34cbc8-440b-4f19-a87a-5473b9205519,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
mcs2024.zip,trends_figures,trends/others/MCS2025_T3_State_Value_Rank.csv,cross_correlation,200,51.0,Year,3.0,e77ebdbe-f9f2-4ef2-94f8-d5ed6d5002b8,0992bbe3-597e-4b8c-b006-dfd101117140,200.0,3.0,200.0,3.0,200.0,3.0,200.0,"cross_correlation,decomposition,structural_break",200.0,2.0,1.0,2.0,"cross_correlation_plot,cross_correlation_result",
