archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types
mcs2024.zip,salient,trends/others/MCS2025_T5_Critical_Minerals_Salient.csv,cross_correlation,200,31,Year,7,b96fe8e5-401d-42e6-b69e-411ba609634c,44c24b71-01c1-4011-a32d-5ae64ff78a72,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig12_Pch_Consump_2020_2024.csv,cross_correlation,200,75,,2,ce74dfaf-2c6b-4466-8aa2-1480aa817e8e,77a5048c-80a5-4c32-8387-cdb44af950df,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig10_Price_Growth_Rates.csv,cross_correlation,200,40,,2,6dbd2d8a-d98d-4201-9bc0-364930b8a5c5,08a7bba2-5a1f-408d-a34b-7717ab07c6e0,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_T4_Critical_Minerals_End_Use.csv,cross_correlation,200,50,,0,b16c2551-4f08-479e-87b1-bd396c2d44cb,2b4203d2-0385-4b6f-a983-6222489b50a1,200,0,200,0,204,0,200,descriptive_summary,200,0,2,2,
mcs2024.zip,trends_figures,trends/others/MCS2025_T1_Mineral_Industry_Trends.csv,cross_correlation,200,5,Year,12,4b13ecad-c9d3-44c9-b957-21a5522be020,6d2edab0-e139-4c58-a08c-2a4ca051dfd1,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig13_Scrap.csv,cross_correlation,200,15,,4,7581935a-42b8-4a11-b0af-e7b4d3f1a541,cdc527f1-00f6-4a4a-ba59-7e88b7b1d8bf,200,4,200,4,200,4,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig4_Value_by_Type.csv,cross_correlation,200,4,year,1,0a6ff2ef-2ea4-4bab-904d-8d965bcd4d7f,adc9a5d1-82c9-4671-adb2-1e659a9e5793,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,2,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig11_Pch_Consump_2023_2024.csv,cross_correlation,200,78,,2,fbc108f1-326e-4042-9664-911d6a73cccb,c1f7b32e-6f48-47cd-af02-5a6b44e793ec,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig2_Net_Import_Reliance.csv,cross_correlation,200,64,,2,f2fec795-de64-4ff5-850a-ecda64e67da5,4d99b304-9806-4ab5-a816-f1eadff649eb,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_T3_State_Value_Rank.csv,cross_correlation,200,51,Year,3,6c8e9b65-baef-44d9-b1ed-49b207d890f7,1c894cc1-9f7b-4eb2-8d2b-567456bf845f,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig3_Major_Import_Sources.csv,cross_correlation,200,43,,1,a26ad8b7-b41c-487e-a62f-d3c3f97bf93e,1058c220-886f-449a-85fb-44cbc42b0f1f,200,1,200,1,200,1,200,descriptive_summary,200,0,2,2,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig1_Minerals_in_Economy.csv,cross_correlation,200,14,Year,1,ae1ffd86-69c2-49e5-a00e-5f43d1f39388,1da1b601-5623-4c25-846e-6516c652e061,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,2,
mcs2024.zip,trends_figures,trends/others/MCS2025_T2_Mineral_Economic_Trends.csv,cross_correlation,200,5,Year,21,bcd42807-fdaa-49fc-8f3d-37d42b451938,2d651319-b8d7-4514-b80e-f23c4b1984a0,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
