archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types,error
mcs2024.zip,salient,trends/others/MCS2025_T5_Critical_Minerals_Salient.csv,decomposition,200,31.0,Year,7.0,8361602a-e5b4-4ea0-afa2-9dd8cc921df5,af3dde8b-af01-4789-9fd2-f5a59ef3b07f,200.0,7.0,200.0,7.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,8.0,21.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig12_Pch_Consump_2020_2024.csv,decomposition,200,75.0,,2.0,3db9295a-70bd-4e59-aea5-6a3caa261b79,c883b1ca-0f1e-405d-ad01-68d8a13c8616,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig10_Price_Growth_Rates.csv,decomposition,200,40.0,,2.0,00ded5cf-bc4e-4fe5-9c24-05929e38dda7,22000ea9-5ee2-422d-9d42-240546c1fbfe,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T4_Critical_Minerals_End_Use.csv,decomposition,200,50.0,,0.0,654aa6d6-bfbe-4cb2-ad6c-88b7c37c281f,5efdfb15-59f7-4a83-89f2-e6acb976fb25,200.0,0.0,200.0,0.0,204.0,0.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T1_Mineral_Industry_Trends.csv,decomposition,200,5.0,Year,12.0,542bba99-d417-439d-9816-4b394236b836,c573a350-3e38-4404-a186-91781ebee2a7,200.0,12.0,200.0,12.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,13.0,36.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig13_Scrap.csv,decomposition,200,15.0,,4.0,0eedff8b-c406-472a-a617-abae9d75d881,eb81ac8f-e96a-4162-8677-62041d9805be,200.0,4.0,200.0,4.0,200.0,4.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig4_Value_by_Type.csv,decomposition,200,4.0,year,1.0,e1ffa837-1fc6-4fb7-a6ba-96a42701dceb,94db28ad-62a2-4148-ab2f-dfa254d92de6,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,2.0,3.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig11_Pch_Consump_2023_2024.csv,decomposition,200,78.0,,2.0,13e6a8bc-5fd2-4a19-9c69-1fc2cd2b1047,f07691c5-ec69-4dca-ad2d-a7e1730e4648,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig2_Net_Import_Reliance.csv,decomposition,200,64.0,,2.0,1ed99f9c-e468-401c-a6b2-bea323f3b514,1ee6815f-2928-47be-ac92-06d5e76b80ec,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T3_State_Value_Rank.csv,decomposition,200,51.0,Year,3.0,fe9b13c4-8abf-4d44-86dd-7d26ff5be4c7,908243ac-5ae4-4a75-9d43-b3efaa6d8067,200.0,3.0,200.0,3.0,200.0,3.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,4.0,9.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig3_Major_Import_Sources.csv,decomposition,200,43.0,,1.0,01067c58-d489-4a95-b1b4-27149adcfce2,cd1b45e7-9f39-4b61-8fda-0c99d77990dc,200.0,1.0,200.0,1.0,200.0,1.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig1_Minerals_in_Economy.csv,decomposition,200,14.0,Year,1.0,8b567e37-e97b-4589-b4ee-cddd695f0225,d812f887-b409-4cf0-bbfb-b05b2ad590b5,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,2.0,3.0,,
mcs2024.zip,trends_figures,trends/others/MCS2025_T2_Mineral_Economic_Trends.csv,decomposition,200,5.0,Year,21.0,8d99d853-aa13-48d8-ad97-bd14b644c20a,ab69bbf1-5880-490b-8992-ce765c577c41,200.0,21.0,200.0,21.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,22.0,63.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig4_Value_by_Type.csv,decomposition,200,4.0,year,1.0,b3dc8a1b-6803-4203-8fa4-5aa01c18dbd7,87e9345d-6205-4185-af04-455c1cce6011,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,2.0,3.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig3_Major_Import_Sources.csv,decomposition,200,43.0,,1.0,f365252a-d2ff-4d4f-a738-01ed28cab9d5,e9d8a6ae-008b-4c83-825f-4fb16fcf4e8a,200.0,1.0,200.0,1.0,200.0,1.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig12_Pch_Consump_2019_2023.csv,decomposition,200,73.0,,2.0,a31fb680-5891-48ba-a5b6-1d6ca75f2e20,0924ae2b-291b-4264-b335-ac1c2137efda,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig1_Minerals_in_Economy.csv,decomposition,200,14.0,Year,1.0,2264c89e-da71-4672-9ba8-191366bb506d,51138fe7-114d-4878-885c-ed4bdb08c5b0,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,2.0,3.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig2_Net_Import_Reliance.csv,decomposition,200,63.0,,2.0,bdea10b8-e7dc-419a-b80a-3e30db5c93a2,4e10a254-6626-4db7-90f7-e58f82abee80,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig11_Pch_Consump_2022_2023.csv,decomposition,200,74.0,,2.0,7a8b07fd-1c06-4046-b3f6-19ec4a47e41b,6514171d-a04e-4dd0-ab8c-c16c2491955a,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig10_Price_Growth_Rates.csv,decomposition,200,40.0,,2.0,6b8944f9-6083-4d2c-8a60-7cbec56df830,e02a1597-4ce4-4e37-ac23-52e760f38f32,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T3_State_Value_Rank.csv,decomposition,200,50.0,Year,3.0,f40a9f1a-6659-430d-ba28-39162bbd867a,35d60258-6109-42cf-912b-992636de3629,200.0,3.0,200.0,3.0,200.0,3.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,4.0,9.0,,
mcs2024.zip,salient,trends/tables/MCS2024_T5_Critical_Minerals_Salient.csv,decomposition,200,31.0,Year,7.0,a3ca170a-d285-418b-9042-5ca9bf529fe1,cbdc12b6-91f7-41b2-b788-64b513b861fd,200.0,7.0,200.0,7.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,8.0,21.0,,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T4_Critical_Minerals_End_Use.csv,decomposition,200,50.0,,0.0,2f487039-7889-4802-8614-ce8b062d6aaa,b85a36c7-2645-41b8-a0cc-a98e70076d34,200.0,0.0,200.0,0.0,204.0,0.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T2_Mineral_Economic_Trends.csv,decomposition,200,5.0,Year,21.0,40815a2b-0821-4b1b-9dd0-100532589e7f,6766ec04-6a50-4f62-a1bc-f07965bbc798,200.0,21.0,200.0,21.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,22.0,63.0,,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T1_Mineral_Industry_Trends.csv,decomposition,200,5.0,Year,12.0,1950e7b6-f245-4eb6-bba5-b2c03ae49cdc,97228077-639e-4b60-9065-da1a751fcbd2,200.0,12.0,200.0,12.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,13.0,36.0,,
mcs2024.zip,salient,commodities/vanad/mcs2024-vanad_salient.csv,decomposition,200,5.0,Year,21.0,484e9ec0-9af2-4373-802a-1a14ea299c64,a0a1e812-b165-4e53-8d62-87f39da678ab,200.0,21.0,200.0,21.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,22.0,63.0,,
