archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types
mcs2024.zip,salient,trends/others/MCS2025_T5_Critical_Minerals_Salient.csv,decomposition,200,31,Year,7,3caab102-62b5-4b8e-9773-199e9023f061,ae60bb06-d266-4e83-b7d3-43b0860bcad1,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,0,8,21,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig12_Pch_Consump_2020_2024.csv,decomposition,200,75,,2,e7c87209-8ab1-4b66-a637-e0b2895b87a3,d3736f61-50fa-40e6-95cd-d5648001f0c9,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig10_Price_Growth_Rates.csv,decomposition,200,40,,2,7b01a218-f085-4346-802d-0e9b8e5a7b2b,48f6e7ff-d191-4d06-a8de-13a31d6fcd73,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_T4_Critical_Minerals_End_Use.csv,decomposition,200,50,,0,787d9000-3dac-4382-8536-2d1eb79fd6f9,b18e824d-3b42-4ed1-b05b-2c70bd45307a,200,0,200,0,204,0,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_T1_Mineral_Industry_Trends.csv,decomposition,200,5,Year,12,ea77f899-c4a5-4d8f-9378-08f5010415b0,87a54a6f-8efd-4196-9507-58e4484223da,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,13,36,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig13_Scrap.csv,decomposition,200,15,,4,eff67d44-fa21-4c66-9d12-7916fdbab908,da04f7f1-aba4-475a-b733-333954365c92,200,4,200,4,200,4,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig4_Value_by_Type.csv,decomposition,200,4,year,1,48e24d96-a97b-4912-905f-1f7f30878696,3dfec5aa-1475-478b-b97a-f01a1d1b7c20,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,3,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig11_Pch_Consump_2023_2024.csv,decomposition,200,78,,2,c9dcb51e-50c7-4a1e-954f-1a76db2fe942,fbd74dc9-a16d-4fa0-ad5c-96948e79020d,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig2_Net_Import_Reliance.csv,decomposition,200,64,,2,3d78c9fa-7d12-4138-bf6f-3d066a74d9b8,81e62be6-e5ef-49ab-93ee-251ed893265d,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_T3_State_Value_Rank.csv,decomposition,200,51,Year,3,cdca04db-fabe-4d2e-84da-4bd51106a337,0f6cf9e2-1d5a-41db-b3bf-83cd37d72c22,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,0,4,9,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig3_Major_Import_Sources.csv,decomposition,200,43,,1,0b2c921a-1709-40b5-b41a-de92e56fc9bc,4112c1d6-39fc-4fee-b655-ff1b4074cf65,200,1,200,1,200,1,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/others/MCS2025_Fig1_Minerals_in_Economy.csv,decomposition,200,14,Year,1,9bbc35f9-b112-439b-993f-35591531bb72,6bdeee73-d83a-4782-a391-cd840aa152b3,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,3,
mcs2024.zip,trends_figures,trends/others/MCS2025_T2_Mineral_Economic_Trends.csv,decomposition,200,5,Year,21,2804a477-0a66-43b8-a15b-2ddf2b4c1750,f309f6e8-d66e-40c8-a50e-75dd5a431be7,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,22,63,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig4_Value_by_Type.csv,decomposition,200,4,year,1,453a436b-ea41-4a26-badb-7be4fd616822,4537a5be-4bd6-42b1-870f-dfdd8a340ce2,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,3,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig3_Major_Import_Sources.csv,decomposition,200,43,,1,5dda0147-b3ca-46b0-bea6-d2bb1770a873,c5bace61-ab10-4805-93be-81aba79385bb,200,1,200,1,200,1,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig12_Pch_Consump_2019_2023.csv,decomposition,200,73,,2,821ff078-ef23-459e-b918-230eb4b2ea70,86571d38-8f18-445c-ac6e-f783b75e5234,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig1_Minerals_in_Economy.csv,decomposition,200,14,Year,1,0d0576aa-4787-4e8d-ae9d-174d61a6d7a4,483a7d33-fef8-49aa-ac1e-d7bcf7d41c7f,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,3,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig2_Net_Import_Reliance.csv,decomposition,200,63,,2,c7423e6c-5c70-4b04-8e42-c6d3ec46cf91,5f391748-d834-4038-8bb9-016e989f985e,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig11_Pch_Consump_2022_2023.csv,decomposition,200,74,,2,af6c8001-98fa-4a99-affe-85efc66ef4e6,3b099b0e-c53c-451a-a5ce-e849dad4f848,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig10_Price_Growth_Rates.csv,decomposition,200,40,,2,15a5f482-95fd-4159-9ca4-ddd58196b39d,01b8acf4-ecf1-45e1-8f8c-29590762c5fa,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T3_State_Value_Rank.csv,decomposition,200,50,Year,3,5252275a-1ce2-46df-8397-dc1fbffa7890,dda2abb9-06bc-42f6-8ddd-faf192eb0c4e,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,0,4,9,
mcs2024.zip,salient,trends/tables/MCS2024_T5_Critical_Minerals_Salient.csv,decomposition,200,31,Year,7,42eeec4c-95fe-47f3-a9c4-0400a87601ad,a7c83f6c-8b99-4277-ae72-3b28e070a25f,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,0,8,21,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T4_Critical_Minerals_End_Use.csv,decomposition,200,50,,0,9f593c12-d252-483e-9133-dcedb7a89846,0d605c2d-6589-4f58-9d8b-50848b404a6d,200,0,200,0,204,0,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T2_Mineral_Economic_Trends.csv,decomposition,200,5,Year,21,fe40457a-3610-4cbb-8602-f39299017c08,0963a470-4f7e-4d4a-a244-719e311531e0,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,22,63,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T1_Mineral_Industry_Trends.csv,decomposition,200,5,Year,12,ab79556e-bc14-4070-97ea-291021891740,8446b793-6040-4c66-b28e-1b507c39d23b,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,13,36,
mcs2024.zip,salient,commodities/vanad/mcs2024-vanad_salient.csv,decomposition,200,5,Year,21,6261c3ed-81ea-41b2-b6b2-3fabbe7e9b5b,a3fbd5e5-ede8-459c-9d10-51059aaed914,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,22,63,
mcs2024.zip,world,commodities/vanad/mcs2024-vanad_world.csv,decomposition,200,7,,3,88088d1e-d7b1-4a01-9ce5-6aa6fdf664ac,5dc8db4b-658e-48b3-a2e4-72ae3b49ce44,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/salt/mcs2024-salt_salient.csv,decomposition,200,5,Year,12,cceb9878-a78b-4651-80c4-8866ed9bfcd6,a71e9f07-4187-4725-bb28-40cf57f5aa57,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,13,36,
mcs2024.zip,world,commodities/salt/mcs2024-salt_world.csv,decomposition,200,25,,4,a3ea6eda-6d00-40f3-91fe-499284416876,2cea64ae-67e2-4cc2-a16a-2332c4bc9991,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/gypsu/mcs2024-gypsu_world.csv,decomposition,200,22,,3,07593b55-cf88-4c65-a95c-b586921021d1,8ae72410-92a8-4a94-8713-ec8db1ca5316,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/gypsu/mcs2024-gypsu_salient.csv,decomposition,200,22,,3,dc3b130b-1e1f-480f-a24a-72e211af8d7f,3db6bb13-0c29-4e78-b2a6-4fb7dcb205ff,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/arsen/mcs2024-arsen_world.csv,decomposition,200,9,,4,79d85173-02cf-49ee-ac8a-d926e3bc296e,3c070b5a-a477-4fcd-832c-b306c12e3676,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/arsen/mcs2024-arsen_salient.csv,decomposition,200,5,Year,7,5198477a-4cb3-4bcf-b9a0-a204f519b2ce,5f4bbaff-c435-411e-a2f7-e32bd2c15635,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,0,8,21,
mcs2024.zip,salient,commodities/graph/mcs2024-graph_salient.csv,decomposition,200,5,Year,8,8e46b0aa-067e-43d6-a599-9f36af85b376,ae6acb2e-ecfe-4634-87fa-9c172931988d,200,8,200,8,200,5,200,"cross_correlation,decomposition,structural_break",200,0,9,24,
mcs2024.zip,world,commodities/graph/mcs2024-graph_world.csv,decomposition,200,20,,4,8ed49829-f508-4700-a373-eafbd26f444b,45c71d41-d493-4f67-ba73-a813d0a09240,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/potas/mcs2024-potas_world.csv,decomposition,200,14,,4,856b1583-8f0c-40ad-af4c-81ba40b4b6ee,c10bd042-03fe-417b-8dc9-add8e43087c8,200,4,200,4,200,4,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/potas/mcs2024-potas_salient.csv,decomposition,200,5,Year,9,aedd8b6e-7b00-4ade-895b-97c0127c7189,cb7fa19c-d4fb-4374-8594-407c33cfee34,200,9,200,9,200,5,200,"cross_correlation,decomposition,structural_break",200,0,10,27,
