archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types
mcs2024.zip,world,commodities/arsen/mcs2024-arsen_world.csv,structural_break,200,9,,4,05565c52-140e-4693-a977-407fc06c8ed2,cc3e7621-a240-4e05-8e1e-9fd2843c4bd5,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/gypsu/mcs2024-gypsu_salient.csv,structural_break,200,22,,3,980c1a01-44c5-442f-8365-de9516cfe649,c1947e9f-429b-44ab-9a69-53bf2c1d1889,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/gypsu/mcs2024-gypsu_world.csv,structural_break,200,22,,3,ced82c1e-b6d6-4d22-8f09-e4a42645a16b,c2dc3954-14dc-40e1-8a13-f0d4cb5e8a41,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/mgmet/mcs2024-mgmet_salient.csv,structural_break,200,5,Year,8,b7974754-a986-4c33-bccf-bf8f841359d0,d8d22341-832a-4e7e-b67e-37da1ff23f01,200,8,200,8,200,5,200,"cross_correlation,decomposition,structural_break",200,0,10,16,
mcs2024.zip,world,commodities/phosp/mcs2024-phosp_world.csv,structural_break,200,26,,3,18c84ff0-a57c-4c16-93bc-6e039ef3de26,1609836d-0773-4c1f-9170-802036f6c60a,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/plati/mcs2024-plati_salient.csv,structural_break,200,5,Year,23,dfd3dd74-c53e-4607-8259-14578fdc7bdc,f8ecd85b-a9b1-4bb6-83f8-875638b201d2,200,23,200,23,200,5,200,"cross_correlation,decomposition,structural_break",200,0,25,46,
mcs2024.zip,world,commodities/potas/mcs2024-potas_world.csv,structural_break,200,14,,4,56d7fb00-5381-4c0b-b7ab-29281aafbdd1,0507e70e-b2bf-4849-8c3f-e1a006c8e4d8,200,4,200,4,200,4,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/sandi/mcs2024-sandi_world.csv,structural_break,200,22,,3,57cc2faf-dbca-47b0-b76d-960d2e417c0f,fcf88cb8-e1cb-42fc-bbd0-ac18c9766690,200,1,200,1,200,1,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/selen/mcs2024-selen_salient.csv,structural_break,200,5,Year,6,f0b66643-fbac-4864-a8c5-d96ac7269877,7e6f21f0-28a3-4bb9-9aa7-c86092c41317,200,6,200,6,200,5,200,"cross_correlation,decomposition,structural_break",200,0,8,12,
mcs2024.zip,world,commodities/silve/mcs2024-silve_world.csv,structural_break,200,14,,4,883c6c82-2b31-4f26-8633-cc01f7cc3ae9,ae22bac6-1415-41ef-90e7-083129b2483e,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/simet/mcs2024-simet_world.csv,structural_break,200,38,,4,cdc3cdc4-d656-4c2d-9005-b7cc09a9985a,07fd36bb-f086-44f2-ac92-547fda229aca,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/stond/mcs2024-stond_world.csv,structural_break,200,3,,4,8329592e-8273-4abb-bac9-86cd73f3854a,518589cb-7374-4cc0-8503-87698787c409,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/stonec/mcs2024-stonec_salient.csv,structural_break,200,5,Year,7,b47676aa-eabf-4cc6-8d81-149252f8273c,8c286933-ad16-4256-b4ed-a277effcefa1,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,0,9,14,
mcs2024.zip,salient,commodities/tin/mcs2024-tin_salient.csv,structural_break,200,5,Year,14,3c2ddac6-5426-4687-862b-e88931152f1e,1bad7594-3bcc-4015-a77a-85ea01e956b9,200,14,200,14,200,5,200,"cross_correlation,decomposition,structural_break",200,0,16,28,
mcs2024.zip,salient,commodities/titan/mcs2024-titan_salient.csv,structural_break,200,5,Year,11,e11b6587-eac1-49ce-8135-01700208afa0,d0f0410d-4b5a-4c6d-ab0f-c227181eb4f5,200,11,200,11,200,5,200,"cross_correlation,decomposition,structural_break",200,0,13,22,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig1_Minerals_in_Economy.csv,structural_break,200,14,Year,1,96e23ae8-7ad7-4330-a55d-0af134f99b8f,7ef6fba3-8f5b-49a5-bc48-b680c6b4aabe,200,1,200,1,200,1,200,"decomposition,structural_break",200,2,3,2,"structural_break_plot,structural_break_result"
mcs2024.zip,salient,commodities/vanad/mcs2024-vanad_salient.csv,structural_break,200,5,Year,21,a5a94791-1295-48ae-8696-7e8ed0180f47,3174cd5e-3db2-4cba-a554-67ce8fede598,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,23,42,
mcs2024.zip,salient,commodities/zirco/mcs2024-zirco_salient.csv,structural_break,200,5,Year,16,a7f0f32d-2176-4e5c-b8f8-6121ae1956af,8cc128c3-1582-4f32-bd9d-a5e6f926f71d,200,15,200,15,200,5,200,"cross_correlation,decomposition,structural_break",200,0,18,32,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig10_Price_Growth_Rates.csv,structural_break,200,40,,2,372146d0-145a-4b40-8abb-2b971479099a,af0d5323-b423-4679-8b09-ed5ac0e94f34,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T1_Mineral_Industry_Trends.csv,structural_break,200,5,Year,12,bb89cef9-fb70-45cc-968d-d8bcef59c1ef,223339dd-b653-488f-be49-4cac99558d7a,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,14,24,
mcs2025.zip,salient,commodities/boron/mcs2025-boron_salient.csv,structural_break,200,5,Year,8,debed0f6-d83f-4c98-8def-8729ee8de278,e56dabec-c927-43bd-8aca-6a295769a968,200,8,200,8,200,5,200,"cross_correlation,decomposition,structural_break",200,0,10,16,
mcs2025.zip,salient,commodities/diamo/mcs2025-diamo_salient.csv,structural_break,200,5,Year,14,c0cfefe9-0b9d-4080-924e-7ce6b1631a84,3333f232-acd4-40e9-baee-68ed69efcc2e,200,14,200,14,200,5,200,"cross_correlation,decomposition,structural_break",200,0,16,28,
mcs2025.zip,salient,commodities/fescr/mcs2025-fescr_salient.csv,structural_break,200,5,Year,9,e3877190-7366-4187-98e5-ec3adff086c4,c890df1b-9148-4249-b8d2-acc34f33c741,200,9,200,9,200,5,200,"cross_correlation,decomposition,structural_break",200,0,11,18,
mcs2025.zip,salient,commodities/germa/mcs2025-germa_salient.csv,structural_break,200,5,Year,13,2a9aa408-f7ba-4bf6-a02c-39805ff6bf20,b3debfac-2f23-4969-8fd0-b642097fd53c,200,10,200,10,200,5,200,"cross_correlation,decomposition,structural_break",200,0,15,26,
mcs2025.zip,salient,commodities/niobi/mcs2025-niobi_salient.csv,structural_break,200,5,Year,7,bca8bca5-09dd-474b-8f3f-48d53ca1ece6,cd3e040a-e761-481e-be89-d2ea64464a3f,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,0,9,14,
mcs2025.zip,salient,commodities/salt/mcs2025-salt_salient.csv,structural_break,200,5,Year,12,efb82240-df25-444e-b045-e8e2fd907adb,889313e5-cfbf-465a-9292-001957c6f6ce,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,14,24,
mcs2025.zip,salient,commodities/zeoli/mcs2025-zeoli_salient.csv,structural_break,200,5,Year,6,963d7c10-1f11-4526-8229-bc6184b14a04,ec50b255-c664-4937-b745-e8072b309cf9,200,6,200,6,200,5,200,"cross_correlation,decomposition,structural_break",200,0,8,12,
mcs2025.zip,trends_figures,trends/figures/MCS2025_Fig1_Minerals_in_Economy.csv,structural_break,200,14,Year,1,94b12bbf-5e77-4083-a0ca-16adc3a2d205,9dd959d8-3695-4206-82a2-ee41f900b370,200,1,200,1,200,1,200,"decomposition,structural_break",200,2,3,2,"structural_break_plot,structural_break_result"
mcs2025.zip,trends_figures,trends/figures/MCS2025_Fig2_Net_Import_Reliance.csv,structural_break,200,64,,2,9ae93d71-77af-4799-bf5f-154f183b250d,7b1f5177-22ee-4af7-b566-83f4539b6e1c,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2025.zip,trends_figures,trends/tables/MCS2025_T3_State_Value_Rank.csv,structural_break,200,51,Year,3,577477a0-411e-47ed-95a9-f6cadd796ae7,eaef22c5-ab93-478e-bc2f-b18d38a6f0f5,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,0,11,6,
