archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types
mcs2024.zip,world,commodities/arsen/mcs2024-arsen_world.csv,cross_correlation,200,9,,4,99079a60-1919-470d-83e9-e0243af9c6c0,4257f18e-fdb9-4b5c-9928-7a727dfa5a7c,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,salient,commodities/gypsu/mcs2024-gypsu_salient.csv,cross_correlation,200,22,,3,a3c6e2f3-bf7b-45a7-a350-0999a32673da,a02e67d7-1e98-48ad-a49d-ef334561e93c,200,3,200,3,200,3,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,world,commodities/gypsu/mcs2024-gypsu_world.csv,cross_correlation,200,22,,3,eec3ac25-8632-44b3-8d28-74191948b6e7,1316d648-691a-4365-adc3-7c45e4190d2e,200,3,200,3,200,3,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,salient,commodities/mgmet/mcs2024-mgmet_salient.csv,cross_correlation,200,5,Year,8,4cb51426-6a11-433c-86ac-19e68e919b47,6ec89316-dffb-426f-9352-c97f679be4fb,200,8,200,8,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,world,commodities/phosp/mcs2024-phosp_world.csv,cross_correlation,200,26,,3,b22e7063-302c-4ed2-8a46-9795b20bb40c,4b24d7b1-1bb3-411b-9ba1-38e43b75f938,200,3,200,3,200,3,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,salient,commodities/plati/mcs2024-plati_salient.csv,cross_correlation,200,5,Year,23,636e79ea-ba84-4244-98a1-02a279c2d668,cbde2a3d-a283-4069-a966-bac9f76d7462,200,23,200,23,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,world,commodities/potas/mcs2024-potas_world.csv,cross_correlation,200,14,,4,dfa2bb70-d340-463b-9da0-6b5db5c55284,779e2183-e770-4202-b384-ee3bc3b0c872,200,4,200,4,200,4,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,world,commodities/sandi/mcs2024-sandi_world.csv,cross_correlation,200,22,,3,58912c19-f3e3-4f23-8cc8-619ac2cdbc4b,8974bba5-e1fe-4906-90b3-1a7ed525e829,200,1,200,1,200,1,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,salient,commodities/selen/mcs2024-selen_salient.csv,cross_correlation,200,5,Year,6,4aae2c70-dda1-4475-ac04-989a798d79f9,80246d92-a783-458c-b588-e470f8418f7d,200,6,200,6,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,world,commodities/silve/mcs2024-silve_world.csv,cross_correlation,200,14,,4,ef6087cb-0323-40f0-98eb-3f0a5be9c42f,8ca1aa60-1a7b-49ee-bb87-9dccdea3b430,200,3,200,3,200,3,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,world,commodities/simet/mcs2024-simet_world.csv,cross_correlation,200,38,,4,01a34362-a4da-4140-bb64-95b4f14d5089,6fd73e10-0cd2-41f6-b82f-d51c36fa2c8a,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,world,commodities/stond/mcs2024-stond_world.csv,cross_correlation,200,3,,4,3d0c8ba5-82a3-4428-b023-4152af0a975d,e61acebf-e20c-4c8a-88a8-48c2f022975d,200,2,200,2,200,2,200,descriptive_summary,200,0,2,2,
mcs2024.zip,salient,commodities/stonec/mcs2024-stonec_salient.csv,cross_correlation,200,5,Year,7,997803db-60f2-4492-bb08-a73b1457572a,7edb231a-c7e6-4198-a496-222c9ef103ee,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,salient,commodities/tin/mcs2024-tin_salient.csv,cross_correlation,200,5,Year,14,a56c82a4-30b2-4dbf-a00e-8cf350a82296,b3a9f617-9afe-4871-8085-ca37b90eb873,200,14,200,14,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,salient,commodities/titan/mcs2024-titan_salient.csv,cross_correlation,200,5,Year,11,5bd9e670-2404-4547-b743-9f2d2a85565e,8c9ad0d7-1be6-47dc-96fc-12068647dd3a,200,11,200,11,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig1_Minerals_in_Economy.csv,cross_correlation,200,14,Year,1,59194203-c4b3-4cac-8eb9-38e4ce1d0929,a2208fd7-b41d-49ed-a70c-47e0e9cda419,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,2,
mcs2024.zip,salient,commodities/vanad/mcs2024-vanad_salient.csv,cross_correlation,200,5,Year,21,4cd91ff1-2c1c-4ff0-ad22-361b520e85df,cecd085b-4a94-4d44-bfd9-a5bb25b76a67,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,salient,commodities/zirco/mcs2024-zirco_salient.csv,cross_correlation,200,5,Year,16,98496272-d2bb-4502-8890-9feadb0aadb3,1ce39762-172c-4ae7-aff5-97d385ac2e1f,200,15,200,15,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig10_Price_Growth_Rates.csv,cross_correlation,200,40,,2,20633c94-0a18-41b7-9e12-41591614fc89,2d1b7450-2503-4f50-9fc9-2381ed535e53,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2024.zip,trends_figures,trends/tables/MCS2024_T1_Mineral_Industry_Trends.csv,cross_correlation,200,5,Year,12,096e7db6-2693-47a3-867d-932214288dea,680f9bc6-867d-48ae-b0b6-6f0a26e8de54,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,salient,commodities/boron/mcs2025-boron_salient.csv,cross_correlation,200,5,Year,8,c0de131e-2aa2-4927-8e0e-36ebde87b049,98e2a820-573d-430f-89a0-6679b2a0ac8c,200,8,200,8,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,salient,commodities/diamo/mcs2025-diamo_salient.csv,cross_correlation,200,5,Year,14,a23dd8cb-9140-4c03-afb1-397392887040,f01b5046-8cff-488c-8334-90edb87c1786,200,14,200,14,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,salient,commodities/fescr/mcs2025-fescr_salient.csv,cross_correlation,200,5,Year,9,4502533c-c287-468b-ade1-b3fbf98a762a,7b235e1d-a665-4ca0-b108-3cd9b22266a4,200,9,200,9,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,salient,commodities/germa/mcs2025-germa_salient.csv,cross_correlation,200,5,Year,13,9187b6cb-5140-4757-9a92-44c822657441,5e6fe7d6-89cd-4932-a847-c3d889ffa5cb,200,10,200,10,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,salient,commodities/niobi/mcs2025-niobi_salient.csv,cross_correlation,200,5,Year,7,fab56fcd-6536-4ea5-9c84-4fc41aad6cf6,8ed6944d-6c58-4c32-b842-790dc519320e,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,salient,commodities/salt/mcs2025-salt_salient.csv,cross_correlation,200,5,Year,12,0f5b45c0-679f-4d4f-9937-17f391c44235,6e451d36-29a7-450e-b4d1-2daefe811323,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,salient,commodities/zeoli/mcs2025-zeoli_salient.csv,cross_correlation,200,5,Year,6,23f0d507-081a-45d0-824b-3c63e9a6ecc6,f91ecf55-c5f6-4b60-8b94-6f60f59f37a4,200,6,200,6,200,5,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,trends_figures,trends/figures/MCS2025_Fig1_Minerals_in_Economy.csv,cross_correlation,200,14,Year,1,ada5c195-7af1-4334-b5d5-231b7a691945,8f9e3735-dc8b-4c79-a707-fde352f4d01b,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,2,
mcs2025.zip,trends_figures,trends/figures/MCS2025_Fig2_Net_Import_Reliance.csv,cross_correlation,200,64,,2,08c7bb7a-3089-4820-a6f8-3bfec3ae3a6e,0d830b1d-0c96-4c19-8797-077ade6426e4,200,2,200,2,200,2,200,descriptive_summary,200,2,1,2,"cross_correlation_plot,cross_correlation_result"
mcs2025.zip,trends_figures,trends/tables/MCS2025_T3_State_Value_Rank.csv,cross_correlation,200,51,Year,3,2d463266-c7f5-4eea-bb94-90844637f33c,58cf63a9-dc93-4453-a7ad-f30371e29af2,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,2,1,2,"cross_correlation_plot,cross_correlation_result"
