archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types
mcs2024.zip,world,commodities/arsen/mcs2024-arsen_world.csv,decomposition,200,9,,4,48440415-6ffc-488d-bd8a-2f3e5131cb77,3f34a003-1a6f-4485-a344-34fb8c6d5693,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/gypsu/mcs2024-gypsu_salient.csv,decomposition,200,22,,3,47129a72-1e01-4208-9821-9c44f43f53aa,3be09709-c9a3-495d-97c9-8b51449052ad,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/gypsu/mcs2024-gypsu_world.csv,decomposition,200,22,,3,66e0e009-43b9-4641-aa6e-a3759cb05886,331225be-2f39-42fc-9d73-9840e57fa1ca,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/mgmet/mcs2024-mgmet_salient.csv,decomposition,200,5,Year,8,3e23ea2d-e39f-454d-aea0-0e7abb77bc43,59dd5c68-96e5-465b-8f75-db9ac2291804,200,8,200,8,200,5,200,"cross_correlation,decomposition,structural_break",200,0,9,24,
mcs2024.zip,world,commodities/phosp/mcs2024-phosp_world.csv,decomposition,200,26,,3,860574f8-97c0-4ae8-a62d-2fa8dc5ac8fb,bc563d59-c9a3-4ffa-9a56-dfbeca043577,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/plati/mcs2024-plati_salient.csv,decomposition,200,5,Year,23,096f54cb-16dc-4e1f-a76e-acf4ace24e48,2720bdaa-5290-4e9c-88aa-e9a5106372a0,200,23,200,23,200,5,200,"cross_correlation,decomposition,structural_break",200,0,24,69,
mcs2024.zip,world,commodities/potas/mcs2024-potas_world.csv,decomposition,200,14,,4,d2f55ccb-ab9a-4d8c-a114-d2a4d55be61d,cf51595e-d34e-40f7-a236-73450e0bfbc3,200,4,200,4,200,4,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/sandi/mcs2024-sandi_world.csv,decomposition,200,22,,3,ec527c0c-dd10-4ec6-957a-fcd17df96f41,41fc813f-644f-40e0-806d-1b8131977b76,200,1,200,1,200,1,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/selen/mcs2024-selen_salient.csv,decomposition,200,5,Year,6,403782a3-2a04-45d8-b753-b1ea84222701,a79300b7-b121-4f5d-96e7-d2081e8e7d96,200,6,200,6,200,5,200,"cross_correlation,decomposition,structural_break",200,0,7,18,
mcs2024.zip,world,commodities/silve/mcs2024-silve_world.csv,decomposition,200,14,,4,9765358d-dd2d-409a-bb03-e5e5f471d08f,750f0d0c-89db-4ae0-946e-035ba1113364,200,3,200,3,200,3,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/simet/mcs2024-simet_world.csv,decomposition,200,38,,4,e2e201fc-8a11-48f4-8b7a-3d192f92aeb7,c0ce4032-f984-486a-8def-f06b5212f42c,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,world,commodities/stond/mcs2024-stond_world.csv,decomposition,200,3,,4,97c4a38f-f8ed-48a2-a1e7-49530e14e193,6f23f695-e3c5-4580-ad9b-2039d476af9a,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,salient,commodities/stonec/mcs2024-stonec_salient.csv,decomposition,200,5,Year,7,879c158b-4422-483b-bf73-5d647fad919e,3b6f8771-21a2-4936-bf72-671533e36f10,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,0,8,21,
mcs2024.zip,salient,commodities/tin/mcs2024-tin_salient.csv,decomposition,200,5,Year,14,051c87e3-520a-40f8-b479-5cbd0347e824,518f49e8-c108-4f65-bca9-113c0f80c5b6,200,14,200,14,200,5,200,"cross_correlation,decomposition,structural_break",200,0,15,42,
mcs2024.zip,salient,commodities/titan/mcs2024-titan_salient.csv,decomposition,200,5,Year,11,dfd38293-679b-4de7-9708-bf57ab3e7604,01772feb-0c13-4714-8df4-65643cab5bdb,200,11,200,11,200,5,200,"cross_correlation,decomposition,structural_break",200,0,12,33,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig1_Minerals_in_Economy.csv,decomposition,200,14,Year,1,5d14f67a-9372-45d4-a6e8-7b9cfd23e42a,1edc1fa6-417d-4410-b80e-e9a1fbfda1bf,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,3,
mcs2024.zip,salient,commodities/vanad/mcs2024-vanad_salient.csv,decomposition,200,5,Year,21,a9854e5f-99a5-42d6-9e7f-27ddfecfdc67,ab683364-17d6-4529-917f-6d3365d971a6,200,21,200,21,200,5,200,"cross_correlation,decomposition,structural_break",200,0,22,63,
mcs2024.zip,salient,commodities/zirco/mcs2024-zirco_salient.csv,decomposition,200,5,Year,16,66ad05de-7650-4522-906e-a37f12b03731,0d79a9d6-0656-480b-91b0-5457af90af27,200,15,200,15,200,5,200,"cross_correlation,decomposition,structural_break",200,0,17,48,
mcs2024.zip,trends_figures,trends/figures/MCS2024_Fig10_Price_Growth_Rates.csv,decomposition,200,40,,2,4db1a57e-8fcc-45b3-889e-4506ec2cbacd,acb3f22f-a158-4b26-9244-82ddc0366b1d,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2024.zip,trends_figures,trends/tables/MCS2024_T1_Mineral_Industry_Trends.csv,decomposition,200,5,Year,12,44824b42-f02b-4cd0-b1a1-05e37130b4a9,ce67215c-be22-4eec-8887-b89350091ec8,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,13,36,
mcs2025.zip,salient,commodities/boron/mcs2025-boron_salient.csv,decomposition,200,5,Year,8,540cd144-63bb-43de-a700-881ef22405b6,64752c98-2e0b-475b-88cd-2a59b348eee1,200,8,200,8,200,5,200,"cross_correlation,decomposition,structural_break",200,0,9,24,
mcs2025.zip,salient,commodities/diamo/mcs2025-diamo_salient.csv,decomposition,200,5,Year,14,84ddae46-b0a4-44e3-9bc8-eafb9bf05750,a1142b8c-3049-43b3-8fd2-3bc61bfad2e9,200,14,200,14,200,5,200,"cross_correlation,decomposition,structural_break",200,0,15,42,
mcs2025.zip,salient,commodities/fescr/mcs2025-fescr_salient.csv,decomposition,200,5,Year,9,0eeecfd6-c0ed-4e58-bfe2-a24ec8854d33,10472111-32ce-4099-99a5-42c23e3db174,200,9,200,9,200,5,200,"cross_correlation,decomposition,structural_break",200,0,10,27,
mcs2025.zip,salient,commodities/germa/mcs2025-germa_salient.csv,decomposition,200,5,Year,13,2bdaa9ab-c2fd-4a03-b523-a541f70639e6,71478c68-f144-4610-85c0-899c4dc54bd9,200,10,200,10,200,5,200,"cross_correlation,decomposition,structural_break",200,0,14,39,
mcs2025.zip,salient,commodities/niobi/mcs2025-niobi_salient.csv,decomposition,200,5,Year,7,b260ae90-f2b6-4e1c-a72c-9beb98835970,2146769c-d1ea-4559-b106-149fc9ed3df7,200,7,200,7,200,5,200,"cross_correlation,decomposition,structural_break",200,0,8,21,
mcs2025.zip,salient,commodities/salt/mcs2025-salt_salient.csv,decomposition,200,5,Year,12,1a654d33-13c6-4d8b-8e75-25c926d122b2,a8fdd04c-b541-4472-9441-a46ec4e3c174,200,12,200,12,200,5,200,"cross_correlation,decomposition,structural_break",200,0,13,36,
mcs2025.zip,salient,commodities/zeoli/mcs2025-zeoli_salient.csv,decomposition,200,5,Year,6,97e326fb-f7ac-47de-927e-049088073a4d,4d1185e4-14d7-4d4d-b356-343bde30e211,200,6,200,6,200,5,200,"cross_correlation,decomposition,structural_break",200,0,7,18,
mcs2025.zip,trends_figures,trends/figures/MCS2025_Fig1_Minerals_in_Economy.csv,decomposition,200,14,Year,1,aec2695a-46a2-4b85-8978-4876547ba01b,fc1013d4-09f0-4d87-b4e4-5640c1ba8b62,200,1,200,1,200,1,200,"decomposition,structural_break",200,0,2,3,
mcs2025.zip,trends_figures,trends/figures/MCS2025_Fig2_Net_Import_Reliance.csv,decomposition,200,64,,2,b3fd3806-8857-4cec-8b41-48af408b7760,51b4b48d-8b1c-4bdd-ae86-50c2d1f76ff2,200,2,200,2,200,2,200,descriptive_summary,200,0,1,0,
mcs2025.zip,trends_figures,trends/tables/MCS2025_T3_State_Value_Rank.csv,decomposition,200,51,Year,3,978a67bb-85d5-4ff2-8d20-b04e805baeea,54c88422-d8f8-423f-81b6-17259abcc4bd,200,3,200,3,200,3,200,"cross_correlation,decomposition,structural_break",200,0,4,9,
